sample_id,System_A,System_B,System_C,System_D,System_E
GSM544727,1411.3751337711335,841.6234423140086,1425.9719608654375,-365.3074705621903,1455.707712875845
GSM544728,1439.1399629881516,854.1154527791023,1374.7316412781065,-361.7574123332761,1666.584450858656
GSM544729,1372.3698809451123,851.627694454226,1500.9491852706506,-383.0129313400767,1590.691104017651
GSM544730,1367.008115796555,809.1411648547537,1463.691752551313,-414.5392056114615,1518.169467246622
GSM544731,1351.7158241893585,794.0337112337538,1456.2712458394644,-417.804187009664,1489.5746550645654
GSM544732,1510.4635808526182,825.9647533628786,1428.096796181656,-332.7876059995424,1361.348123446336
GSM544733,1431.1733727731344,789.8548226094535,1394.6722549312108,-372.1744916585503,1644.5576877670528
GSM544734,1367.0034643784093,733.5849836699444,1473.0905516021185,-418.2633519558213,1356.0033087084366
GSM544735,1471.7437304752157,815.9878743258669,1438.0480959195463,-354.0894091271157,1427.1273729756822
GSM544736,1468.4297759525552,762.9963730118106,1377.1725043072993,-414.10765990742766,1574.0341667246712
GSM544737,1405.2798055082912,779.5692611767572,1440.3613678516313,-407.37418574998446,1544.777667293656
GSM544738,1468.3202274131772,804.2705392320695,1395.1276952940098,-373.80750522503786,1462.4802677368443
GSM544739,1382.2700427701377,790.5363271157903,1457.3458673607256,-346.3034894095472,1469.5347893537264
GSM544740,1407.3537680166537,799.2822073205343,1388.5250020546018,-421.64838822049023,1692.0644788531
