sample_id,System_A,System_B,System_C,System_D,System_E
GSM1602801,1766.2118164425028,1660.1475974036648,784.7879222970405,895.6735395276246,533.9932851602798
GSM1602802,1761.409683446128,1552.0469500464533,923.217805610092,852.4952760579972,663.8808141619738
GSM1602803,1719.2761291077068,1538.222869750769,875.2426318404514,772.3769609939118,599.3634771386014
GSM1602804,1673.9919458476852,1614.2792177179535,774.6321099373017,751.7784192575855,663.1666502483004
GSM1602805,1672.7848950554971,1603.4938345887986,802.4035323148892,861.6032621897111,652.8518439021027
GSM1602806,1738.5833341693042,1674.8711125588106,833.0464149197587,928.791324404864,701.6581968703176
GSM1602807,1681.227828242847,1702.0209331877031,733.6958866135128,893.1425093053622,679.1500058023848
GSM1602808,1674.6318338290612,1531.684745519925,816.0002900283253,751.0086474189475,596.0640923797337
GSM1602809,1589.6461378131771,1517.3603613332516,746.6557183477898,593.9027389144921,715.3794582645332
GSM1602810,1663.1674888320458,1577.4337949799528,801.418734514622,679.5015103523338,723.4822053891066
GSM1602811,1693.2595058985098,1660.0952986864067,791.7440504616252,896.9950245753134,565.1109543502171
GSM1602812,1729.940449238402,1501.331203688309,971.81255149115,829.7485782450412,700.6124284717343
GSM1602813,1785.2350875197135,1395.0293454309212,1132.9730809170496,842.2405674828005,588.0418695214157
GSM1602814,1746.475320642573,1624.926018351678,757.4151916612782,915.7942167014216,580.3117073586218
GSM1602815,1705.8174072316233,1470.7036036981335,1060.7376313242594,810.3078790494656,1031.2357121286575
GSM1602816,1786.7637300689105,1596.4150326187546,927.1314846975512,911.3547153099043,497.2072113690037
GSM1602817,1767.250867834633,1510.1702503974857,837.8278068192676,852.4057574158842,609.7136541484997
GSM1602818,1824.474221969568,1418.4671591977185,976.074464604936,946.6081906046064,567.6999054348271
GSM1602819,1731.8846215109925,1487.441973138937,905.0355658460594,880.064177592255,602.6294965051984
GSM1602820,1806.5883228064856,1599.489412138022,982.703359977074,937.4425677265826,514.2294987310588
GSM1602821,1833.6178512914748,1568.048091861845,1028.3629584187029,923.1660731304046,672.7861928949251
GSM1602822,1588.286533531358,1461.7987923489754,765.8972563154566,639.2092908244294,708.1859087191133
GSM1602823,1744.8960354985793,1523.197963058331,1129.1196797234352,882.4673548282562,602.8874799284295
GSM1602824,1649.9375228225151,1436.674255675879,710.7311282031133,770.0722801380352,667.6081211209184
GSM1602825,1669.999217755555,1546.5191954092234,976.0792810049306,795.4517804938223,807.9219483146344
GSM1602826,1774.739473598638,1641.321997698759,904.7316116161492,963.8244449757984,463.8749734195553
GSM1602827,1724.9043056678556,1573.909164726424,884.9799701379607,867.5217712216208,632.0773322554451
GSM1602828,1677.5929505166414,1655.4113912614212,831.2933936158361,862.6644500897182,591.5142064305137
GSM1602829,1723.4394325020403,1508.7157931047568,823.9579017261331,844.9069129177951,622.7679604150308
GSM1602830,1721.0760535719592,1501.7363817864134,877.5360646371037,797.4499106040885,623.3641042330873
GSM1602831,1699.8182009587108,1556.5731097464268,919.7857202768372,867.0072104801257,624.0425136610056
GSM1602832,1703.9084665214896,1647.549722589476,713.1396202568321,844.1111255015321,663.8307875877708
