TimePoint,System,Mean,Std,N
Intact,System A,702.685281200912,611.8295619040666,8
Intact,System B,583.5681733213169,260.60479295052335,8
Intact,System C,1108.5790521186404,741.7232076276956,8
Intact,System D,1022.0768636810126,623.3375494635497,8
Intact,System E,342.1751931777842,902.7825874564477,8
Acute,System A,1940.9835028516447,560.4515953232558,6
Acute,System B,294.64546788317483,829.0817558320648,6
Acute,System C,1564.666729854509,1358.7945540132991,6
Acute,System D,1663.0088548396327,379.1645682004679,6
Acute,System E,-871.3124147559474,744.8295696290576,6
Day3,System A,1883.5376071809314,383.66255092662095,6
Day3,System B,3227.542302549735,316.509267862921,6
Day3,System C,1885.8585676319715,887.5837551038608,6
Day3,System D,1445.3159707693992,358.2096900520545,6
Day3,System E,3572.433864388875,345.82674971892544,6
Day7,System A,1687.7857947844482,426.02271192696116,5
Day7,System B,2703.7059719789777,307.4226286410563,5
Day7,System C,2016.941643419407,489.46201512346687,5
Day7,System D,1591.705890664061,361.3786201416911,5
Day7,System E,2618.350090416773,1102.2298071745636,5
