dataset_id,name,chinese_name,disease_type,expected_strategy,expected_systems,description,platform,n_samples,pub_date,gdstype
GSE324520,Immunological mechanisms underlying the clinical heterogeneity of Kikuchi diseas,Immunological mechanisms underlying the ,other,case_control,"['System A', 'System B']","Building on our previous research, which classified Kikuchi disease into three subtypes based on predominant symptoms an",34064,35,,Expression profiling by array
GSE315667,Lupus-Associated Immune Complexes Induce Shared Proinflammatory Transcriptional ,Lupus-Associated Immune Complexes Induce,autoimmune,case_control,"['System B', 'System A']","Lupus-associated immune complexes (ICs) activate monocytes and contribute to disease pathogenesis. Here, we performed mi",16699,24,,Expression profiling by array
GSE322536,Differential Expression and Target Gene Analysis of PBMC-Derived microRNAs as di,Differential Expression and Target Gene ,cancer,subtype_comparison,"['System A', 'System B']",Clinical specimens were collected from patients with Acute Lymphoblastic Leukemia (ALL) and from non-leukemic controls. ,19117,23,,Expression profiling by array
GSE320321,Baseline NanoString IO360/BC360 expression in longitudinal midlife benign breast,Baseline NanoString IO360/BC360 expressi,cancer,subtype_comparison,"['System A', 'System B']",Baseline lobule-enriched FFPE RNA from benign breast biopsies of women aged 45–55 was profiled using NanoString nCounter,33436;27956,162,,Expression profiling by array
GSE320268,Expression analysis of baseline tissue samples from KRAS G12C–mutant patients an,Expression analysis of baseline tissue s,other,case_control,"['System A', 'System B']","Expression analysis in baseline tissue samples from KRAS G12C mutant patients, follow-up of KRAS mutant patients treated",36640,98,,Expression profiling by array
GSE320266,Expression analysis in plasma sample from KRAS G12C–mutant patients monitoring d,Expression analysis in plasma sample fro,other,case_control,"['System A', 'System B']","Follow-up at baseline, 3 days, 6 weeks after the treatment of KRAS G12C mutant patients treated with KRAS G12C inhibitor",36640,62,,Expression profiling by array
GSE297114,"Mitochondrial RNA degradation is increased in AML and controls differentiation, ",Mitochondrial RNA degradation is increas,other,case_control,"['System A', 'System B']",This SuperSeries is composed of the SubSeries listed below.,32993;11154,22,,Expression profiling by array; Expression profiling by high throughput sequencing
GSE225930,Early Transcriptional Responses to Human Typhoid Challenge,Early Transcriptional Responses to Human,other,case_control,"['System A', 'System B']",The whole blood transcriptome 12 and 24 hours after challenge with S. Typhi Quailes Strain. Samples were collected from ,10558,163,,Expression profiling by array
GSE290002,Confirmation of CDK8/19 inhibitor selectivity and activity in colorectal cancer ,Confirmation of CDK8/19 inhibitor select,cancer,subtype_comparison,"['System A', 'System B']",We verified the selectivity of two chemical series of inhibitors of the Mediator kinases using a combination of high-qua,21185,54,,Expression profiling by array
GSE290001,Confirmation of CDK8/19 inhibitor selectivity and activity in colorectal cancer ,Confirmation of CDK8/19 inhibitor select,cancer,subtype_comparison,"['System A', 'System B']",We verified the selectivity of two chemical series of inhibitors of the Mediator kinases using a combination of high-qua,17077,41,,Expression profiling by array
GSE319500,Predictability of progression free survival in ovarian cancer,Predictability of progression free survi,cancer,subtype_comparison,"['System A', 'System B']","Given the interrelated mechanisms by which changes to the tumor microenvironment (TME) may drive disease recurrence, we ",27956,70,,Expression profiling by array
GSE283593,DEAH-BOX HELICASE 8 IS A REGULATOR OF HEAT SHOCK FACTOR 1 [DHX8-HSF1 KD],DEAH-BOX HELICASE 8 IS A REGULATOR OF HE,cancer,subtype_comparison,"['System A', 'System B']",Heat Shock Factor 1 (HSF1) is a key transcription factor mediating the cellular stress response and promoting cancer cel,6480,77,,Expression profiling by array
GSE290099,Immune response of human lung tissue after infection with human parainfluenza vi,Immune response of human lung tissue aft,infection,case_control,"['System B', 'System C']",Ex vivo human precision-cut lung slices (PCLS) were infected with human parainfluenza virus 3 (hPIV-3). We used microarr,23159,31,,Expression profiling by array
