subcategory,system,ad_mean,ad_std,control_mean,control_std,difference,fold_change,ad_samples,control_samples
A4,A,0.2727237050856627,0.0024107724660882776,0.27407606836914755,0.0010135514576482749,-0.0013523632834848698,0.9950657374373038,92,44
C3,C,0.14180765980054125,0.0014981841394661182,0.14241377601470137,0.0008480373948972676,-0.000606116214160124,0.9957439776465337,92,44
E1,E,0.1334467007591973,0.0015133471120617257,0.13415511759902052,0.0006498876562486734,-0.0007084168398232282,0.994719419933419,92,44
A1,A,0.12358848133475571,0.0014622818051454225,0.1242661493492161,0.0006477973432157904,-0.0006776680144603975,0.9945466402716319,92,44
A2,A,0.11141337521133807,0.001664282010202105,0.11220390895391065,0.0008114564170811228,-0.0007905337425725828,0.9929544901782583,92,44
A3,A,0.10832223544193756,0.0015607903831749447,0.10903498169515821,0.0008350706384527226,-0.000712746253220653,0.9934631414419516,92,44
C1,C,0.10784545004268209,0.00264626472410036,0.10909606366880978,0.0012259807743764382,-0.001250613626127689,0.9885365834103396,92,44
B3,B,0.10483163026957291,0.0015800622490142599,0.10557264140720034,0.0007329495497121259,-0.0007410111376274231,0.9929810306178729,92,44
D1,D,0.10306366719812009,0.0020684097149836753,0.10397504879037207,0.0010881697949860234,-0.0009113815922519863,0.9912346125069924,92,44
E2,E,0.09439468219450375,0.0010581886905480233,0.09491559297457783,0.0004682811633716924,-0.0005209107800740742,0.9945118524391077,92,44
D2,D,0.09015046290673671,0.0026257394936765373,0.09133218103812757,0.001228279922556699,-0.0011817181313908548,0.9870613170740165,92,44
B1,B,0.08867859748883264,0.0010583188721674237,0.089192204008009,0.000550501370017497,-0.0005136065191763545,0.9942415761008637,92,44
B2,B,0.08692511272017991,0.0013662578714779257,0.08758471246136793,0.0006723493256541325,-0.0006595997411880106,0.9924690083160466,92,44
C2,C,0.07745565918793544,0.0017858375560624309,0.07841451975689415,0.0007841321178515087,-0.0009588605689587054,0.9877719002560823,92,44
