,ad_mean,control_mean,difference,fold_change,t_statistic,p_value,significant
A1,0.12358848133475571,0.1242661493492161,-0.0006776680144603975,0.9945466402716319,-2.9350195885041597,0.003925759046792433,True
A2,0.11141337521133807,0.11220390895391065,-0.0007905337425725828,0.9929544901782583,-2.9816644779906976,0.0034063276163307154,True
A3,0.10832223544193756,0.10903498169515821,-0.000712746253220653,0.9934631414419516,-2.8374244371871455,0.005255327504880817,True
A4,0.2727237050856627,0.27407606836914755,-0.0013523632834848698,0.9950657374373038,-3.56780062061138,0.0005000687284026405,True
B1,0.08867859748883264,0.089192204008009,-0.0005136065191763545,0.9942415761008637,-3.0253125270058416,0.0029783297544336866,True
B2,0.08692511272017991,0.08758471246136793,-0.0006595997411880106,0.9924690083160466,-3.027633481151386,0.0029570237821913785,True
B3,0.10483163026957291,0.10557264140720034,-0.0007410111376274231,0.9929810306178729,-2.9580513469240537,0.003660809866973716,True
C1,0.10784545004268209,0.10909606366880978,-0.001250613626127689,0.9885365834103396,-2.981231469351664,0.003410843834731755,True
C2,0.07745565918793544,0.07841451975689415,-0.0009588605689587054,0.9877719002560823,-3.403012889819117,0.0008792062687946691,True
C3,0.14180765980054125,0.14241377601470137,-0.000606116214160124,0.9957439776465337,-2.4960888606348726,0.013770280613129767,True
D1,0.10306366719812009,0.10397504879037207,-0.0009113815922519863,0.9912346125069924,-2.74319564408446,0.006917470277675473,True
D2,0.09015046290673671,0.09133218103812757,-0.0011817181313908548,0.9870613170740165,-2.83647114090731,0.005270135784145253,True
E1,0.1334467007591973,0.13415511759902052,-0.0007084168398232282,0.994719419933419,-2.972280054432015,0.0035054493632684716,True
E2,0.09439468219450375,0.09491559297457783,-0.0005209107800740742,0.9945118524391077,-3.1179181089125723,0.002229600504225617,True
