,system,no_relapse_mean,no_relapse_std,relapse_mean,relapse_std,difference,fold_change,t_statistic,p_value,cohens_d,auc,significant,effect_size_interpretation
A1,A,0.286765137065957,0.006536670162919541,0.28813570638665653,0.0062360839983352885,0.0013705693206995107,1.004779414034504,1.5336936885483141,0.12621824265031328,0.21196650285973848,0.565684899485741,False,Small
A2,A,0.28067709130971236,0.0051526942156769244,0.2819185525591896,0.004974195834298891,0.001241461249477216,1.0044230943241013,1.7576776384809252,0.07987970441337541,0.2429225502885212,0.5845188005075803,False,Small
A3,A,0.26860430396214957,0.006617484496465614,0.2700152304683301,0.006309735737514382,0.001410926506180521,1.005252806769542,1.5597624065490854,0.11992965943188222,0.215569370257524,0.5668202764976958,False,Small
A4,A,0.28177661455300423,0.006658881992767352,0.283333786764219,0.006510406677620078,0.0015571722112147635,1.005526264887826,1.7010288258592352,0.090032134586494,0.23509331372568323,0.5815801776531089,False,Small
B1,B,0.2637286840804599,0.004552191407704636,0.2648730044788794,0.004416758935789063,0.001144320398419496,1.0043390062116655,1.8317566734704707,0.06803495451220959,0.2531607576301847,0.5910639150470847,False,Small
B2,B,0.30189383799243413,0.004529249770438285,0.3030314706405322,0.004397043242983854,0.0011376326480980747,1.0037683202004493,1.8300331712735132,0.06829304279116707,0.2529225583495278,0.5901956855673546,False,Small
B3,B,0.28730526310005,0.004561548266425201,0.2884426461725228,0.004415786177755247,0.0011373830724727974,1.0039587965086345,1.8178602030903979,0.07013902908364984,0.25124017449774305,0.587991718426501,False,Small
C1,C,0.40115084014579394,0.005502628702644163,0.4018534221038437,0.005148953985746502,0.0007025819580497861,1.0017514158958123,0.9379188682918372,0.3490830453792805,0.12962652448949005,0.5351632939290724,False,Negligible
C2,C,0.29702988987248696,0.0063923733032384975,0.2981345090718481,0.005941075684735466,0.001104619199361112,1.0037188822977894,1.271224109142303,0.2046891010801439,0.1756914896226307,0.5487878180725306,False,Negligible
C3,C,0.33736169711321873,0.003152990355075397,0.3381299034967195,0.003056126575402729,0.0007682063835007802,1.0022771001867559,1.7758046067583841,0.07683586492292138,0.24542781591092797,0.5873238495959393,False,Small
D1,D,0.2800596008710831,0.00479162566494238,0.28124582501513007,0.004652665892052172,0.0011862241440469545,1.0042356132064654,1.8036311223691261,0.07234879614247215,0.24927362243984694,0.5885260134909504,False,Small
D2,D,0.3324942428665913,0.0039384568258078725,0.33341266947269105,0.0038170576115891795,0.0009184266060997537,1.0027622331087045,1.6996863673275986,0.09028483960161042,0.23490777717277841,0.5806451612903226,False,Small
E1,E,0.28259054180675386,0.004631034288564072,0.28381290123542574,0.004474886526460221,0.001222359428671882,1.0043255496834986,1.925160916532136,0.05520777921677626,0.26606983517407284,0.5942028985507246,False,Small
E2,E,0.28129093783615455,0.005239819388471001,0.2825524827189704,0.005084010634741467,0.0012615448828158238,1.0044848401179232,1.7543872286165973,0.08044264971492814,0.24246779411580915,0.5852534562211982,False,Small
