Subcategory,Subcategory_Code,Parent_System,Mean_Activation,Std_Deviation,Min_Value,Max_Value,Coefficient_of_Variation,Sample_Count,Overall_Rank,Within_System_Rank
C3 (Catabolism & Degradation),C3,C,0.2827907585802307,0.00033482949842195093,0.282257328141306,0.2832972613990442,0.0011840185305311394,14,1,1
C1 (Energy Metabolism),C1,C,0.2751323626872553,0.00023088483261394962,0.2748069630965961,0.275601165111795,0.0008391772976427272,14,2,2
D2 (Gene Expression),D2,D,0.27278652588774993,0.00035943143967477343,0.2721984898465476,0.273329332103809,0.0013176290086361426,14,3,1
B2 (Adaptive Immunity),B2,B,0.22600456841083627,0.0004630110274705426,0.2252501602544304,0.2267122778325473,0.002048679948048088,14,4,1
B3 (Inflammatory Response),B3,B,0.20775552292454277,0.0004615211756153149,0.2070089986038694,0.2084516107269851,0.002221462847863449,14,5,2
D1 (Signal Transduction),D1,D,0.1998944271821863,0.00046747728751049696,0.199134276842574,0.2005956007335052,0.0023386209115496366,14,6,2
E1 (Structural Components),E1,E,0.19830666310643724,0.0004631241995798353,0.197487723709431,0.1990065674541285,0.0023353940423638834,14,7,1
E2 (Transport & Localization),E2,E,0.1976147575273711,0.0004911410919209196,0.1968284106664032,0.1983617475562617,0.00248534622649775,14,8,2
A2 (Development & Morphogenesis),A2,A,0.19139745824329593,0.0004870009178359306,0.1906279892241056,0.1921243498565781,0.0025444481985590255,14,9,1
B1 (Innate Immunity),B1,B,0.1875898329516235,0.00047555390797516877,0.1868207148875668,0.188322284264016,0.0025350729327522073,14,10,3
A4 (Stem Cell & Regeneration),A4,A,0.1866076719362355,0.0005043230254885109,0.1858836109844432,0.1873575742383819,0.002702584627178886,14,11,2
A1 (Cell Cycle & Division),A1,A,0.16700739309065354,0.00028556386953486383,0.1666280208546339,0.1675390832365684,0.0017098875938974538,14,12,3
C2 (Biosynthesis),C2,C,0.15759809636792768,0.00025810011155656367,0.157243482820543,0.1580897407270385,0.0016377108448950076,14,13,3
A3 (Growth Factors),A3,A,0.15189599730401296,0.0003394894660689691,0.1514158852711158,0.1524797346460144,0.00223501258818227,14,14,4
