sample_id,subject_id,timepoint,day,condition,group,A,B,C,D,E
GSM716451,Patient_1,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716454,Patient_2,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716456,Patient_3,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716459,Patient_4,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716462,Patient_5,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716465,Patient_6,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716468,Patient_7,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716472,Patient_8,Baseline,0,Wound_Healing,Baseline,0.12712133851052868,0.15908206317670298,0.18718492382548585,0.1739859535036735,0.12874168925264443
GSM716452,Patient_1,Acute,0,Wound_Healing,Acute,0.1431431834495616,0.18670893509097672,0.21017131814125997,0.20231723353994477,0.15498791370249504
GSM716457,Patient_3,Acute,0,Wound_Healing,Acute,0.1431431834495616,0.18670893509097672,0.21017131814125997,0.20231723353994477,0.15498791370249504
GSM716460,Patient_4,Acute,0,Wound_Healing,Acute,0.1431431834495616,0.18670893509097672,0.21017131814125997,0.20231723353994477,0.15498791370249504
GSM716463,Patient_5,Acute,0,Wound_Healing,Acute,0.1431431834495616,0.18670893509097672,0.21017131814125997,0.20231723353994477,0.15498791370249504
GSM716469,Patient_7,Acute,0,Wound_Healing,Acute,0.1431431834495616,0.18670893509097672,0.21017131814125997,0.20231723353994477,0.15498791370249504
GSM716473,Patient_8,Acute,0,Wound_Healing,Acute,0.1431431834495616,0.18670893509097672,0.21017131814125997,0.20231723353994477,0.15498791370249504
GSM716453,Patient_1,Day_3,3,Wound_Healing,Day_3,0.12891630510795837,0.16525825342662262,0.18765208790989027,0.17695950072770672,0.1364880257993861
GSM716455,Patient_2,Day_3,3,Wound_Healing,Day_3,0.12891630510795837,0.16525825342662262,0.18765208790989027,0.17695950072770672,0.1364880257993861
GSM716458,Patient_3,Day_3,3,Wound_Healing,Day_3,0.12891630510795837,0.16525825342662262,0.18765208790989027,0.17695950072770672,0.1364880257993861
GSM716466,Patient_6,Day_3,3,Wound_Healing,Day_3,0.12891630510795837,0.16525825342662262,0.18765208790989027,0.17695950072770672,0.1364880257993861
GSM716470,Patient_7,Day_3,3,Wound_Healing,Day_3,0.12891630510795837,0.16525825342662262,0.18765208790989027,0.17695950072770672,0.1364880257993861
GSM716474,Patient_8,Day_3,3,Wound_Healing,Day_3,0.12891630510795837,0.16525825342662262,0.18765208790989027,0.17695950072770672,0.1364880257993861
GSM716461,Patient_4,Day_7,7,Wound_Healing,Day_7,0.13075703087577217,0.16483987436346764,0.1911785723316695,0.18050007236458135,0.14020828765487667
GSM716464,Patient_5,Day_7,7,Wound_Healing,Day_7,0.13075703087577217,0.16483987436346764,0.1911785723316695,0.18050007236458135,0.14020828765487667
GSM716467,Patient_6,Day_7,7,Wound_Healing,Day_7,0.13075703087577217,0.16483987436346764,0.1911785723316695,0.18050007236458135,0.14020828765487667
GSM716471,Patient_7,Day_7,7,Wound_Healing,Day_7,0.13075703087577217,0.16483987436346764,0.1911785723316695,0.18050007236458135,0.14020828765487667
GSM716475,Patient_8,Day_7,7,Wound_Healing,Day_7,0.13075703087577217,0.16483987436346764,0.1911785723316695,0.18050007236458135,0.14020828765487667
