Subcategory,Survivors_Mean_SD,Deaths_Mean_SD,Mean_Difference,Cohens_d,95%_CI,t_statistic,p_value
A1,0.1325 ± 0.0017,0.1322 ± 0.0020,-0.0003,-0.178,"[-0.0007, +0.0001]",1.66,0.097
A2,0.1010 ± 0.0018,0.1006 ± 0.0021,-0.0004,-0.190,"[-0.0008, +0.0000]",1.77,0.078
A3,0.1275 ± 0.0014,0.1273 ± 0.0016,-0.0002,-0.132,"[-0.0005, +0.0001]",1.23,0.221
A4,-0.0795 ± 0.0014,-0.0797 ± 0.0017,-0.0002,-0.163,"[-0.0005, +0.0001]",1.51,0.130
B1,0.0985 ± 0.0012,0.0983 ± 0.0013,-0.0003,-0.231,"[-0.0006, -0.0000]",2.15,0.032
B2,0.0906 ± 0.0016,0.0902 ± 0.0018,-0.0004,-0.214,"[-0.0007, -0.0000]",1.99,0.047
B3,0.1140 ± 0.0011,0.1138 ± 0.0012,-0.0003,-0.227,"[-0.0005, -0.0000]",2.11,0.035
C1,0.1647 ± 0.0014,0.1644 ± 0.0017,-0.0002,-0.142,"[-0.0005, +0.0001]",1.32,0.186
C2,0.1267 ± 0.0015,0.1265 ± 0.0018,-0.0002,-0.151,"[-0.0006, +0.0001]",1.41,0.159
C3,0.1222 ± 0.0010,0.1222 ± 0.0010,-0.0000,-0.009,"[-0.0002, +0.0002]",0.09,0.932
D1,0.1255 ± 0.0015,0.1253 ± 0.0017,-0.0002,-0.140,"[-0.0006, +0.0001]",1.30,0.193
D2,0.1360 ± 0.0013,0.1359 ± 0.0015,-0.0001,-0.107,"[-0.0004, +0.0001]",1.00,0.320
E1,0.1103 ± 0.0016,0.1100 ± 0.0019,-0.0003,-0.155,"[-0.0006, +0.0001]",1.45,0.149
E2,0.0897 ± 0.0018,0.0893 ± 0.0021,-0.0004,-0.203,"[-0.0008, +0.0000]",1.89,0.059
