Subcategory,Sepsis_Mean_SD,Control_Mean_SD,Mean_Difference,Cohens_d,95%_CI,t_statistic,p_value
A1,0.1322 ± 0.0017,0.1311 ± 0.0006,+0.0011,+0.638,"[+0.0006, +0.0016]",4.03,6.18e-05
A2,0.1007 ± 0.0018,0.0999 ± 0.0007,+0.0008,+0.431,"[+0.0002, +0.0013]",2.72,0.007
A3,0.1273 ± 0.0014,0.1254 ± 0.0004,+0.0019,+1.368,"[+0.0014, +0.0023]",8.63,3.27e-17
A4,-0.0797 ± 0.0014,-0.0812 ± 0.0005,+0.0015,+1.065,"[+0.0010, +0.0019]",6.72,3.52e-11
B1,0.0984 ± 0.0012,0.0991 ± 0.0009,-0.0007,-0.606,"[-0.0011, -0.0004]",-3.82,1.43e-04
B2,0.0903 ± 0.0016,0.0907 ± 0.0010,-0.0003,-0.204,"[-0.0008, +0.0002]",-1.29,0.198
B3,0.1139 ± 0.0011,0.1144 ± 0.0008,-0.0006,-0.522,"[-0.0009, -0.0002]",-3.29,0.001
C1,0.1644 ± 0.0014,0.1627 ± 0.0005,+0.0017,+1.235,"[+0.0013, +0.0022]",7.79,2.03e-14
C2,0.1265 ± 0.0015,0.1248 ± 0.0005,+0.0017,+1.137,"[+0.0012, +0.0021]",7.17,1.66e-12
C3,0.1220 ± 0.0010,0.1198 ± 0.0004,+0.0023,+2.385,"[+0.0020, +0.0026]",15.05,3.11e-45
D1,0.1253 ± 0.0015,0.1236 ± 0.0005,+0.0016,+1.085,"[+0.0012, +0.0021]",6.84,1.54e-11
D2,0.1358 ± 0.0013,0.1337 ± 0.0004,+0.0021,+1.602,"[+0.0017, +0.0025]",10.11,1.10e-22
E1,0.1100 ± 0.0016,0.1084 ± 0.0005,+0.0016,+1.007,"[+0.0011, +0.0020]",6.35,3.54e-10
E2,0.0894 ± 0.0018,0.0891 ± 0.0009,+0.0002,+0.125,"[-0.0003, +0.0008]",0.79,0.430
