Primary_System,Subcategory_Code,Subcategory_Name,Entry_Count,Mean_Confidence,Percentage_of_Total,Percentage_within_System
System A: Self-Healing & Structural Reconstruction,A1,Genomic Stability and Repair,601,0.859,2.34,12.78
System A: Self-Healing & Structural Reconstruction,A2,Somatic Maintenance and Identity Preservation,1080,0.853,4.2,22.96
System A: Self-Healing & Structural Reconstruction,A3,Cellular Homeostasis and Structural Maintenance,317,0.863,1.23,6.74
System A: Self-Healing & Structural Reconstruction,A4,Inflammation Resolution and Damage Containment,25,0.868,0.1,0.53
System A: Self-Healing & Structural Reconstruction,B3,Immune Regulation and Tolerance,3,0.8,0.01,0.06
System B: Immune Defense,B1,Innate Immunity,168,0.863,0.65,6.69
System B: Immune Defense,B2,Adaptive Immunity,1345,0.843,5.23,53.52
System B: Immune Defense,B3,Immune Regulation and Tolerance,670,0.841,2.6,26.66
System C: Energy & Metabolic Homeostasis,C1,Energy Metabolism and Catabolism,71,0.897,0.28,7.78
System C: Energy & Metabolic Homeostasis,C2,Biosynthesis and Anabolism,324,0.86,1.26,35.49
System C: Energy & Metabolic Homeostasis,C3,Detoxification and Metabolic Stress Handling,65,0.897,0.25,7.12
System D: Cognitive-Regulatory,D1,Neural Regulation and Signal Transmission,794,0.861,3.09,41.66
System D: Cognitive-Regulatory,D2,Endocrine and Autonomic Regulation,360,0.845,1.4,18.89
System E: Reproduction & Continuity,E1,Reproduction,86,0.887,0.33,3.25
System E: Reproduction & Continuity,E2,Development and Reproductive Maturation,2059,0.888,8.0,77.79
